289it [02:29,  1.94it/s, Epoch=1, Loss=0.271843, Mean Loss=0.947006, Mean F-1=0.535956]
73it [00:33,  2.16it/s, Epoch=1, Val Loss=0.083734, Mean Val Loss=0.415079, Mean Val F-1=0.717308]
289it [01:28,  3.25it/s, Epoch=2, Loss=1.622512, Mean Loss=0.566869, Mean F-1=0.652474]
73it [00:16,  4.43it/s, Epoch=2, Val Loss=0.050898, Mean Val Loss=0.385316, Mean Val F-1=0.714912]
289it [01:32,  3.14it/s, Epoch=3, Loss=0.361313, Mean Loss=0.529975, Mean F-1=0.672659]
73it [00:18,  4.03it/s, Epoch=3, Val Loss=0.014476, Mean Val Loss=0.284903, Mean Val F-1=0.799231]
289it [01:37,  2.96it/s, Epoch=4, Loss=0.400360, Mean Loss=0.441484, Mean F-1=0.710845]
73it [00:18,  4.05it/s, Epoch=4, Val Loss=0.024605, Mean Val Loss=0.352539, Mean Val F-1=0.782342]
289it [01:41,  2.85it/s, Epoch=5, Loss=0.389080, Mean Loss=0.394693, Mean F-1=0.737136]
73it [00:18,  4.02it/s, Epoch=5, Val Loss=0.001093, Mean Val Loss=0.253517, Mean Val F-1=0.825784]
289it [01:39,  2.90it/s, Epoch=6, Loss=0.035404, Mean Loss=0.324275, Mean F-1=0.783468]
73it [00:17,  4.11it/s, Epoch=6, Val Loss=0.821511, Mean Val Loss=0.419914, Mean Val F-1=0.722716]
289it [01:46,  2.72it/s, Epoch=7, Loss=0.001237, Mean Loss=0.332697, Mean F-1=0.775091]
73it [00:18,  3.98it/s, Epoch=7, Val Loss=0.000374, Mean Val Loss=0.227448, Mean Val F-1=0.839123]
289it [01:55,  2.51it/s, Epoch=8, Loss=0.022257, Mean Loss=0.291453, Mean F-1=0.800757]
73it [00:21,  3.47it/s, Epoch=8, Val Loss=0.168242, Mean Val Loss=0.271994, Mean Val F-1=0.810449]
289it [02:05,  2.30it/s, Epoch=9, Loss=0.004948, Mean Loss=0.289923, Mean F-1=0.801873]
73it [00:22,  3.20it/s, Epoch=9, Val Loss=0.001291, Mean Val Loss=0.335700, Mean Val F-1=0.795683]
289it [02:14,  2.14it/s, Epoch=10, Loss=0.159418, Mean Loss=0.309755, Mean F-1=0.791374]
73it [00:23,  3.05it/s, Epoch=10, Val Loss=0.146284, Mean Val Loss=0.288732, Mean Val F-1=0.819455]
289it [02:20,  2.06it/s, Epoch=11, Loss=0.728715, Mean Loss=0.267192, Mean F-1=0.811188]
73it [00:23,  3.17it/s, Epoch=11, Val Loss=0.010676, Mean Val Loss=0.223923, Mean Val F-1=0.849043]
289it [02:06,  2.29it/s, Epoch=12, Loss=0.326933, Mean Loss=0.265176, Mean F-1=0.810764]
73it [00:19,  3.73it/s, Epoch=12, Val Loss=0.018156, Mean Val Loss=0.203031, Mean Val F-1=0.855240]
289it [02:03,  2.34it/s, Epoch=13, Loss=0.002456, Mean Loss=0.241715, Mean F-1=0.830869]
73it [00:21,  3.37it/s, Epoch=13, Val Loss=0.293489, Mean Val Loss=0.206448, Mean Val F-1=0.845783]
289it [02:14,  2.15it/s, Epoch=14, Loss=1.000286, Mean Loss=0.231449, Mean F-1=0.827016]
73it [00:21,  3.45it/s, Epoch=14, Val Loss=0.000478, Mean Val Loss=0.258702, Mean Val F-1=0.831011]
289it [02:33,  1.88it/s, Epoch=15, Loss=0.003908, Mean Loss=0.242252, Mean F-1=0.841892]
73it [00:26,  2.78it/s, Epoch=15, Val Loss=3.363265, Mean Val Loss=0.403604, Mean Val F-1=0.778524]
289it [02:47,  1.72it/s, Epoch=16, Loss=0.782258, Mean Loss=0.304355, Mean F-1=0.802747]
73it [00:26,  2.75it/s, Epoch=16, Val Loss=1.699149, Mean Val Loss=0.236084, Mean Val F-1=0.835916]
289it [02:33,  1.88it/s, Epoch=17, Loss=0.024943, Mean Loss=0.202024, Mean F-1=0.855543]
73it [00:22,  3.21it/s, Epoch=17, Val Loss=1.966159, Mean Val Loss=0.430826, Mean Val F-1=0.737825]
289it [02:33,  1.88it/s, Epoch=18, Loss=1.648557, Mean Loss=0.230977, Mean F-1=0.832367]
73it [00:22,  3.22it/s, Epoch=18, Val Loss=0.274145, Mean Val Loss=0.309919, Mean Val F-1=0.787983]
289it [02:39,  1.81it/s, Epoch=19, Loss=0.224274, Mean Loss=0.261307, Mean F-1=0.833024]
73it [00:23,  3.15it/s, Epoch=19, Val Loss=0.000086, Mean Val Loss=0.254782, Mean Val F-1=0.838213]
289it [02:44,  1.76it/s, Epoch=20, Loss=0.066705, Mean Loss=0.225778, Mean F-1=0.835748]
73it [00:24,  2.93it/s, Epoch=20, Val Loss=0.023272, Mean Val Loss=0.222484, Mean Val F-1=0.840307]
