289it [02:35,  1.86it/s, Epoch=1, Loss=0.926253, Mean Loss=0.933033, Mean F-1=0.538623]
73it [00:35,  2.04it/s, Epoch=1, Val Loss=2.941851, Mean Val Loss=0.465810, Mean Val F-1=0.676545]
289it [01:25,  3.38it/s, Epoch=2, Loss=0.504868, Mean Loss=0.469843, Mean F-1=0.691692]
73it [00:16,  4.38it/s, Epoch=2, Val Loss=1.890646, Mean Val Loss=0.652042, Mean Val F-1=0.637745]
289it [01:28,  3.27it/s, Epoch=3, Loss=0.160403, Mean Loss=0.422629, Mean F-1=0.743266]
73it [00:16,  4.30it/s, Epoch=3, Val Loss=0.483999, Mean Val Loss=0.299088, Mean Val F-1=0.768096]
289it [01:28,  3.26it/s, Epoch=4, Loss=0.432187, Mean Loss=0.355665, Mean F-1=0.766051]
73it [00:17,  4.25it/s, Epoch=4, Val Loss=0.141068, Mean Val Loss=0.320085, Mean Val F-1=0.767199]
289it [01:29,  3.24it/s, Epoch=5, Loss=0.021941, Mean Loss=0.331083, Mean F-1=0.785182]
73it [00:17,  4.25it/s, Epoch=5, Val Loss=1.692607, Mean Val Loss=0.289142, Mean Val F-1=0.796950]
289it [01:29,  3.22it/s, Epoch=6, Loss=0.407935, Mean Loss=0.250703, Mean F-1=0.824791]
73it [00:18,  3.89it/s, Epoch=6, Val Loss=0.654612, Mean Val Loss=0.286145, Mean Val F-1=0.806045]
289it [01:29,  3.21it/s, Epoch=7, Loss=0.002541, Mean Loss=0.329841, Mean F-1=0.783795]
73it [00:17,  4.17it/s, Epoch=7, Val Loss=2.548171, Mean Val Loss=0.513649, Mean Val F-1=0.718180]
289it [01:30,  3.18it/s, Epoch=8, Loss=0.003948, Mean Loss=0.245482, Mean F-1=0.831546]
73it [00:17,  4.10it/s, Epoch=8, Val Loss=0.834056, Mean Val Loss=0.225045, Mean Val F-1=0.820721]
289it [01:31,  3.15it/s, Epoch=9, Loss=0.265457, Mean Loss=0.286699, Mean F-1=0.819148]
73it [00:17,  4.06it/s, Epoch=9, Val Loss=1.569102, Mean Val Loss=0.480263, Mean Val F-1=0.754714]
289it [01:32,  3.13it/s, Epoch=10, Loss=0.696172, Mean Loss=0.237897, Mean F-1=0.830495]
73it [00:18,  3.94it/s, Epoch=10, Val Loss=0.423666, Mean Val Loss=0.282991, Mean Val F-1=0.837354]
289it [01:33,  3.09it/s, Epoch=11, Loss=0.567274, Mean Loss=0.242884, Mean F-1=0.841053]
73it [00:18,  4.02it/s, Epoch=11, Val Loss=0.303663, Mean Val Loss=0.184686, Mean Val F-1=0.860581]
289it [01:34,  3.05it/s, Epoch=12, Loss=0.013996, Mean Loss=0.210310, Mean F-1=0.843938]
73it [00:18,  3.94it/s, Epoch=12, Val Loss=3.967058, Mean Val Loss=0.429167, Mean Val F-1=0.776619]
289it [01:35,  3.01it/s, Epoch=13, Loss=0.010976, Mean Loss=0.258913, Mean F-1=0.844525]
73it [00:18,  3.89it/s, Epoch=13, Val Loss=1.878853, Mean Val Loss=0.217762, Mean Val F-1=0.841658]
289it [01:36,  3.00it/s, Epoch=14, Loss=0.287102, Mean Loss=0.212959, Mean F-1=0.861646]
73it [00:18,  3.85it/s, Epoch=14, Val Loss=5.870219, Mean Val Loss=0.524052, Mean Val F-1=0.771915]
289it [01:37,  2.96it/s, Epoch=15, Loss=0.754982, Mean Loss=0.191906, Mean F-1=0.865220]
73it [00:19,  3.81it/s, Epoch=15, Val Loss=0.009102, Mean Val Loss=0.189479, Mean Val F-1=0.854101]
289it [01:38,  2.92it/s, Epoch=16, Loss=0.006107, Mean Loss=0.179200, Mean F-1=0.874034]
73it [00:19,  3.76it/s, Epoch=16, Val Loss=0.974613, Mean Val Loss=0.292567, Mean Val F-1=0.812551]
289it [01:41,  2.83it/s, Epoch=17, Loss=0.238396, Mean Loss=0.289698, Mean F-1=0.811175]
73it [00:19,  3.68it/s, Epoch=17, Val Loss=0.079632, Mean Val Loss=0.303813, Mean Val F-1=0.832951]
289it [01:41,  2.85it/s, Epoch=18, Loss=0.426809, Mean Loss=0.188748, Mean F-1=0.865317]
73it [00:19,  3.66it/s, Epoch=18, Val Loss=1.808279, Mean Val Loss=0.314786, Mean Val F-1=0.820361]
289it [01:42,  2.81it/s, Epoch=19, Loss=0.000544, Mean Loss=0.231371, Mean F-1=0.845926]
73it [00:20,  3.58it/s, Epoch=19, Val Loss=3.597165, Mean Val Loss=0.336114, Mean Val F-1=0.803282]
289it [01:43,  2.78it/s, Epoch=20, Loss=0.015635, Mean Loss=0.196482, Mean F-1=0.869409]
73it [00:20,  3.54it/s, Epoch=20, Val Loss=1.120152, Mean Val Loss=0.428583, Mean Val F-1=0.771114]
